title,metascore,userscore,link,cast,details,num_seasons,user_rating,num_ratings,keywords,runtime,synopsis,plot
Nikki,53,0,https://www.imdb.com/title/tt2069441/?ref_=adv_li_tt,"['Josh Grelle', 'Brina Palencia', 'Emily Neves']","['Official site [Japan]', 'Japan', 'Japanese', '12 Diary Holders', 'Dolby Digital', 'Color']",1,7.7,11573.0,"['anime', 'shounen', 'friendship', 'predicting the future', 'phone', 'animation', 'action', 'drama', 'romance', 'thriller']",25 min,"Yukiteru Amano is a 14-year old loner who spends much of his time dispassionately recording events around him in his cell phone ""diary."" His only friends are imaginary ones: Dues ex Machina, the ""god of time and space,"" and Murmur, Dues's impish helper. Yukiteru's life takes a turn for the strange when his diary starts recording events before they happen and Dues announces that he's not so imaginary after all, and a turn for the sinister when his diary announces his own impending death. It turns out Yukiteru has become part of a survival game in order to determine who will succeed Dues as the god of time and space, competing with 11 others who also possess diaries that predict the future in various ways,. But Yukiteru does have at least one strong ally: Yuno Gasai, a fellow classmate who despite being a Future Diary holder herself is determined to protect Yukiteru at all costs. She's also an obsessive and possibly crazy stalker who's own Future Diary records Yukiteru's every move in ...","A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future."
No Ordinary Family,65,6.7,https://www.imdb.com/title/tt1591493/?ref_=adv_li_tt,"['Greg Berlanti', 'Jon Harmon Feldman', 'Michael Chiklis', 'Julie Benz', 'Kay Panabaker']","['ABC [United States]', 'USA', 'English', 'Berlanti Television', 'Stereo', 'Color']",1,6.9,15721.0,"['non comic book superhero', 'montage', 'research facility', 'airplane in water', 'police station', 'action', 'comedy', 'drama', 'sci-fi']",0,"The Powells are a typical American family living in Pacific Bay, California, whose members gain special powers after their plane crashes in the Amazon.","The Powells are a typical American family living in Pacific Bay, California, whose members gain special powers after their plane crashes in the Amazon."
Ninja Scroll,0,0,https://www.imdb.com/title/tt0856348/?ref_=adv_li_tt,"['Laura Bailey', 'Nana Mizuki', 'Kôsuke Toriumi']","['FUNimation [United States]', 'Japan', 'Japanese', 'Gonzo Digimation', 'Color']",1,8.0,3292.0,"['year 1614', 'tragedy', 'ninjitsu', 'violence', 'tragic love', 'animation', 'drama', 'fantasy']",25 min,"The year is 1614 AD. Two warring ninja clans, each supporting a son of Hidetada Tokugawa as the next shogun, send ten representatives each to fight to the death for the possession Tokugawa government for the winning clan for the next thousand years.","The year is 1614 AD. Two warring ninja clans, each supporting a son of Hidetada Tokugawa as the next shogun, send ten representatives each to fight to the death for the possession Tokugawa "
No Tomorrow,69,6.8,https://www.imdb.com/title/tt5595688/?ref_=adv_li_tt,"['Corinne Brinkerhoff', 'Scott McCabe', 'Tory Stanton', 'Joshua Sasse', 'Tori Anderson', 'Jonathan Langdon']","['USA', 'English', 'Vancouver, British Columbia, Canada', 'Electus', 'Dolby Digital', 'Color']",1,7.3,4376.0,"['apocalypse', 'heartache', 'optimism', 'co worker', 'friend from work', 'comedy', 'drama', 'romance']",43 min,"Evie, a risk-averse quality-control assessor falls for free-spirited thrill seeker Xavier only to find out he lives his life that way because he believes the apocalypse is coming.","Evie, a risk-averse quality-control assessor falls for free-spirited thrill seeker Xavier only to find out he lives his life that way because he believes the apocalypse is coming."
Noah's Arc,0,0,https://www.imdb.com/title/tt0478079/?ref_=adv_li_tt,"['Darryl Stephens', 'Rodney Chester', 'Christian Vincent']","['Official site', 'USA', 'English', 'Los Angeles, California, USA', 'Open Door Productions', 'Color']",2,6.7,1020.0,"['character name in series title', 'two word series title', 'oral sex', 'anal sex', 'gay kiss', 'comedy', 'drama', 'romance']",0,"Explore the daily lives of Noah, Alex, Ricky, and Chance, four African-American gay men in Los Angeles, through their relationships with their friends and lovers.","Explore the daily lives of Noah, Alex, Ricky, and Chance, four African-American gay men in Los Angeles, through their relationships with their friends and lovers."
Ninja Warrior,0,0,https://www.imdb.com/title/tt1587934/?ref_=adv_li_tt,"['Matt Iseman', 'Akbar Gbajabiamila', 'Jenn Brown']","['American Ninja Warrior on NBC', 'USA', 'English', 'KC Film Office', 'Color']",11,6.9,2711.0,"['obstacle course', 'based on tv series', 'non fiction', 'action', 'game-show', 'sport']",40 min,"Contestants run, jump, crawl, climb, hang, and swing through crazy obstacles as they compete to become the next American Ninja champion.","Contestants run, jump, crawl, climb, hang, and swing through crazy obstacles as they compete to become the next American Ninja champion."
Nip/Tuck,70,7.4,https://www.imdb.com/title/tt0361217/?ref_=adv_li_tt,"['Ryan Murphy', 'Dylan Walsh', 'Julian McMahon', 'Joely Richardson']","['FX Networks', 'USA', 'English', 'Altadena, California, USA', 'Hands Down Entertainment', 'Stereo', 'Color']",6,7.7,50625.0,"['blood', 'plastic surgeon', 'miami florida', 'friendship', 'surgery', 'drama']",44 min,Two plastic surgeons - one a dedicated family man and one an unscrupulous playboy - strive to maintain their business whilst having to work their way through numerous hardships ranging from personal relationships to clients with criminal connections.,The dark and twisted trials of two plastic surgeons.
Norm,0,0,https://www.imdb.com/title/tt0181935/?ref_=adv_li_tt,"['Bruce Helford', 'Norm MacDonald', 'Norm MacDonald', 'Laurie Metcalf', 'Ian Gomez']","['ABC', 'USA', 'English', 'Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA', 'Mohawk Productions', 'Stereo', 'Color']",3,7.9,1510.0,"['three word series title', 'actor name in series title', 'character name in series title', 'forename in series title', 'sitcom', 'comedy']",30 min,"Norm Henderson is an ex-hockey player who was banned from hockey for life for gambling and tax evasion. Now he must do five years of community service as a social worker, or go to prison. His co-workers are a collection of burn-outs, and basically inept losers, with one exception, Laurie, who ends up spending a lot of time trying to bail out Norm.","Norm Henderson is an ex-hockey player who was banned from hockey for life for gambling and tax evasion. Now he must do five years of community service as a social worker, or go to prison. "
Nitro Circus,0,0,https://www.imdb.com/title/tt1414349/?ref_=adv_li_tt,"['Travis Pastrana', 'Andy Bell', 'Jolene Van Vugt']","['MTV', 'USA', 'English', 'Jamaica', 'Dickhouse Productions', 'Color']",2,7.7,2121.0,"['motor', 'action', 'comedy', 'reality-tv', 'sport']",0,"This TV series is about one group of outrageous friends performing mind blowing stunts. Much like Jackass, you will think: ""Why would they do that?"". Except in Jackass, everything is meant to result in failure and to be hurt. But in Nitro Circus, you have to succeed, otherwise, death could occur. Follow the hilarious group of friends perform extreme stunts for your entertainment, while putting their life at risk at every step of the way.","This TV series is about one group of outrageous friends performing mind blowing stunts. Much like Jackass, you will think: ""Why would they do that?"". Except in Jackass, everything is meant "
Norm MacDonald Has a Show,43,8.7,https://www.imdb.com/title/tt8139862/?ref_=adv_li_tt,"['Norm MacDonald', 'Norm MacDonald', 'Adam Eget', 'Michael Keaton']","['USA', 'Anchor Spud Productions']",1,8.8,2447.0,"['comedy', 'talk-show']",30 min,"Based on his podcast, comedian and former Saturday Night Live (1975) alumni Norm Macdonald and his sidekick Adam Eget sit down and chat with celebrity guests about their life, career and views in a somewhat unconventional and often irreverent way.","Based on his podcast, comedian and former Saturday Night Live (1975) alumni Norm Macdonald and his sidekick Adam Eget sit down and chat with celebrity guests about their life, career and views in a somewhat unconventional and often irreverent way."
Northern Exposure,80,7.1,https://www.imdb.com/title/tt0098878/?ref_=adv_li_tt,"['Joshua Brand', 'John Falsey', 'Rob Morrow', 'Janine Turner', 'Barry Corbin']","['USA', 'English', 'Easton, Washington, USA', 'Cine-Nevada Productions', 'Dolby', 'Color']",6,8.3,13869.0,"['eccentric', 'offbeat', 'alaska', 'magical realism', 'small town', 'comedy', 'drama', 'fantasy']",60 min,"Joel Fleishman is fresh out of medical college, and fresh out of luck. Failing to read the fine print in his scholarship conditions, he finds he has no choice but to move to the remote and somewhat eccentric town of Cicely, in the wilds of Alaska. Once there, he is welcomed by the peculiar locals who are not keen to see him go, most especially Maurice Minnifield, the ex-NASA astronaut. Despite Joel's adamant denials, one gets the impression that he enjoys life in Cicely more than he admits.",A newly graduated doctor is required to set up his practice in an eccentric Alaskan town.
NOS4A2,47,4.2,https://www.imdb.com/title/tt5194792/?ref_=adv_li_tt,"['Ashleigh Cummings', 'Ólafur Darri Ólafsson', 'Jahkara Smith']","['Official site', 'USA', 'English', 'West Warwick, Rhode Island, USA', 'American Movie Classics (AMC)', 'Stereo', 'Color']",1,6.9,1726.0,"['vampire', 'nosferatu', 'energy vampire', 'based on novel', 'drama', 'horror']",60 min,"A young Victoria ""Vic"" McQueen discovers she has the power to unlock portals that help her find lost objects. As she delves further into this hidden universe, she encounters many other ""inscape travelers"" - some benevolent, and some who have been corrupted by their power. When Vic encounters Charlie Manx, an immortal who stays that way by feeding off of the souls of children, she makes a sworn enemy of Manx.","Charlie Manx, a seductive immortal who feeds off the souls of children, has his whole world threatened when a young woman in New England discovers she has a dangerous gift."
Notorious,32,4.3,https://www.imdb.com/title/tt6233618/?ref_=adv_li_tt,"['Kyle Long', 'Josh Duhamel', 'Bokeem Woodbine', 'Wavyy Jonez']","['Facebook', 'USA', 'English', 'Las Vegas, Nevada, USA', 'Universal Cable Productions', 'Stereo', 'Color']",1,8.0,4631.0,"['los angeles california', 'las vegas nevada', 'rapper', 'hiphop', 'rap', 'biography', 'crime']",60 min,"A scripted True Crime series based on the murder investigations of Tupac Shakur and Biggie Smalls. It will chronicle the two major police investigations into the separate murders of rappers Tupac Shakur and Biggie Smalls. Tupac was killed in a drive-by shooting in Las Vegas in September 1996 at the age of 25, and Biggie was also shot and killed by an unknown assailant in March 1997 at the age of 24.",A scripted true crime series based on the murder investigations of Tupac Shakur and Biggie Smalls.
Not Going Out,0,8.8,https://www.imdb.com/title/tt0862614/?ref_=adv_li_tt,"['Lee Mack', 'Sally Bretton', 'Katy Wix']","['UK', 'English', 'London, England, UK', 'Avalon Television', 'Dolby', 'Color']",10,7.7,5313.0,['comedy'],30 min,"The mishaps of slacker Lee, Lee's best mate Tim, Lee's long-suffering landlady and the love of Lee's life, Lucy, and Tim's well-meaning but dim-witted girlfriend Daisy.","The mishaps of slacker Lee, Lee's best mate Tim, Lee's long-suffering landlady and the love of Lee's life, Lucy, and Tim's well-meaning but dim-witted girlfriend Daisy."
North and South,0,0,https://www.imdb.com/title/tt0088583/?ref_=adv_li_tt,"['Douglas Heyes', 'Kirstie Alley', 'Georg Stanford Brown', 'David Carradine']","['USA', 'English', 'Boone Hall Plantation - 1235 Long Point Road, Mount Pleasant, South Carolina, USA', 'David L. Wolper Productions', 'Mono', 'Color']",1,8.1,8742.0,"['ulysses s. grant character', 'abraham lincoln character', 'mary todd lincoln character', 'tv mini series', 'friendship', 'drama', 'history', 'romance', 'war']",561 min,"1842, a special summer day at the huge plantation of Mont Royal. A South Carolinian young man, Orry Maine, leaves his rich home for West Point Academy. On his way northwards, in very strange circumstances, he meets two people who will play a decisive role in his life: beautiful lady Madeleine Fabray whom Orry helps and with whom he falls in love and a ""Yankee"", George Hazard, by whom Orry is helped, and who is also on his way to West Point Academy. From that time, Orry and George are best friends and help each other at every moment, they fight for the U.S. in the Mexican War at Churubusco, where George saves Orry's life. A few years later, the friendship of Orry and George spread to the friendship of their families, the Maines from South Carolina and the Hazards from Pennsylvania. Yet, the love of Orry's life, Madeleine gets married to Justin LaMotte, a rich cruel owner of nearby plantation in South Carolina. Their love cannot be fulfilled and they only meet in secret. Years pass by ...","Two friends, one northern and one southern, struggle to maintain their friendship as events build towards the American Civil War."
Now Apocalypse,64,5.3,https://www.imdb.com/title/tt8201814/?ref_=adv_li_tt,"['Gregg Araki', 'Avan Jogia', 'Kelli Berglund', 'Beau Mirchoff']","['Official Facebook', 'USA', 'English', '17155 Lisette Street, Granada Hills, California, USA', 'Starz!']",1,6.2,1810.0,"['gay sex', 'comedy']",30 min,"Ulysses and his friends Carly, Ford, and Severine are on various quests pursuing love, sex and fame in Los Angeles. Between sexual and romantic dating app adventures, Ulysses grows increasingly troubled as foreboding premonitory dreams make him wonder if some kind of dark and monstrous conspiracy going on...or is he just smoking too much weed?","While on quests to pursue love, sex, and fame with his friends in Los Angeles, Ulysses' premonitory dreams make him question the possible presence of a dark and monstrous conspiracy."
NOVA,0,0,https://www.imdb.com/title/tt1641349/?ref_=adv_li_tt,"['Kelly Marcel', 'Craig Silverstein', ""Jason O'Mara"", 'Shelley Conn', 'Christine Adams']","['Official Facebook', 'Australia', 'English', 'Brisbane, Queensland, Australia', 'Amblin Television', 'Dolby Digital', 'Color']",1,6.8,76900.0,"['supernatural power', '22nd century', 'monster', 'prehistoric times', 'dinosaur', 'adventure', 'drama', 'mystery', 'sci-fi']",0,"In 2149, earth is nearly wrecked by pollution. Police detective Jim Shannon is jailed for illegally raising an extra child, Zoe. He's sprung from jail just in time to join his family on the latest 'pilgrimage', through a unique time-space-continuum rip, to Terra Nova, a colony run with modern technology in a dino age forest. Colony commander Nathaniel Taylor soon recruits as security professional Jim, who gradually finds out about some threats, notably from Saurian monsters, the 'sixers' and his own, bitterly estranged son Lucas. Meanwhile Jim's son Josh keeps getting into trouble, mainly due to his girlfriend Skye. His smart sister Maddy is in love with gentleman soldier Mark Reynolds.","Centers on the Shannons, an ordinary family from 2149 when the planet is dying, who are transported back 85 million years to prehistoric Earth where they join Terra Nova, a colony of humans with a second chance to build a civilization."
Numb3rs,53,7.5,https://www.imdb.com/title/tt0433309/?ref_=adv_li_tt,"['Nicolas Falacci', 'Cheryl Heuton', 'Rob Morrow', 'David Krumholtz', 'Judd Hirsch']","['CBS [United States]', 'USA', 'English', '2515 4th Ave, Los Angeles, California, USA', 'The Barry Schindel Company', 'Dolby Digital', 'Color']",6,6.9,37212.0,"['21st century', 'intelligence', 'federal bureau of investigation', 'federal bureau of investigation agent', 'police officer', 'crime', 'drama', 'mystery', 'thriller']",43 min,"In the Los Angeles office of the Federal Bureau of Investigation, Special Agent Don Eppes and his team investigate critical and baffling crimes with a special edge. That advantage is Don's brother, Charles Eppes, a brilliant universalist mathematician who uses the science of mathematics with its complex equations to ferret out the most tricky criminals. With this team, the forces of evil learn their number is up.","Working for the F.B.I., a mathematician uses equations to help solve various crimes."
Now and Again,0,0,https://www.imdb.com/title/tt0212395/?ref_=adv_li_tt,"['Glenn Gordon Caron', 'Eric Close', 'Dennis Haysbert', 'Gerrit Graham']","['USA', 'English', 'Brooklyn, New York City, New York, USA', 'CBS Productions', 'Stereo', 'Color']",1,8.2,1402.0,"['adventure', 'comedy', 'drama', 'sci-fi']",45 min,"When Michael Wiseman is killed in a tragic subway accident, the U.S. government covertly makes him an offer he can't refuse; they ""keep his brain alive"" and place it into a new, genetically bio-engineered body. The doctor in charge of the experiment has grand plans for him, but all Michael wants is to get back to his grieving wife and daughter. For security reasons, the government forbids such contact... not that Michael is going to let that stop him.","When Michael Wiseman is killed in a tragic subway accident, the U.S. government covertly makes him an offer he can't refuse; they ""keep his brain alive"" and place it into a new, genetically"
Nurse Jackie,76,7.5,https://www.imdb.com/title/tt1190689/?ref_=adv_li_tt,"['Liz Brixius', 'Evan Dunsky', 'Linda Wallem', 'Edie Falco', 'Merritt Wever', 'Paul Schulze']","['USA', 'English', 'Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA', 'Showtime Networks', 'Dolby Digital', 'Color']",7,7.7,22816.0,"['new york city', 'hospital', 'nurse', 'woman', 'mother', 'comedy', 'drama']",0,A drug-addicted nurse struggles to find a balance between the demands of her frenetic job at a New York City hospital and an array of personal dramas.,A drug-addicted nurse struggles to find a balance between the demands of her frenetic job at a New York City hospital and an array of personal dramas.
NYPD Blue,84,0,https://www.imdb.com/title/tt0106079/?ref_=adv_li_tt,"['Steven Bochco', 'David Milch', 'Dennis Franz', 'Jimmy Smits', 'Gordon Clapp']","['USA', 'English', 'Los Angeles, California, USA', 'Steven Bochco Productions', 'Dolby Digital', 'Color']",12,7.5,10611.0,"['famous opening theme', 'two word series title', 'italian american', 'color in series title', 'acronym in series title', 'crime', 'drama', 'mystery', 'thriller']",60 min,"Each week, viewers saw the gritty reality of life in a New York City Police unit, as the officers go about their work with a grim determination, and a willingness to break the same laws that they're supposed to be enforcing. Two partners, Detectives Andy Sipowicz (Dennis Franz) and John Kelly (David Caruso) (later replaced by Bobby Simone (Jimmy Smits)), were the central characters in this weekly Police drama, and personified very different approaches to their difficult job. Sipowicz's brash gruffness (covering an emotional vulnerability) was tempered by the precise and controlled demeanor of the two partners with whom he has worked.",Detectives from NYPD's 15th Precinct investigate homicides within their precinct.
Oban Star-Racers,0,10,https://www.imdb.com/title/tt0813808/?ref_=adv_li_tt,"['Savin Yeatman-Eiffel', 'Junko Noda', 'Chiara Zanni', 'Michael Dobson']","['Official site', 'France', 'French', 'Sav! The World Productions', 'Dolby Digital', 'Color']",1,8.2,1372.0,"['bare midriff', 'anime', 'animation', 'action', 'adventure', 'sci-fi']",25 min,"Earth, 2082, twenty-five years after the failed invasion of the Crog forces. Young Eva (15) is determined to be reunited with her father, race manager Don Wei, who sent her off to a tough boarding school after the tragic death of the mother, ten years earlier. She escapes from school and secretly joins her dad's famous star-racer team under the alias ""Molly"". But Don Wei doesn't recognize his daughter. He has other troubles on his mind: the President of the Earth Coalition has just put him in charge of a dangerous top-secret mission. Don Wei must lead the Earth to victory in a mysterious and mythical intergalactic competition - The Great Race of Oban. It is said that the outcome of the competition will radically transform the balance of power within our Galaxy. Earth cannot afford to lose - especially not against the Crogs! Before she knows what is happening, ""Molly"" takes off for the planet Alwas, the first stage of The Great Race of Oban, with Don Wei, champion pilot Rick ...","Earth, 2082, twenty-five years after the failed invasion of the Crog forces. Young Eva (15) is determined to be reunited with her father, race manager Don Wei, who sent her off to a tough "
NYC 22,57,7.1,https://www.imdb.com/title/tt1825122/?ref_=adv_li_tt,"['Richard Price', 'Adam Goldberg', 'Leelee Sobieski', 'Stark Sands']","['USA', 'English', 'New York City, New York, USA', 'Post 109', 'Stereo', 'Color']",1,6.6,1472.0,"['police', 'scolding', 'rascal', 'new york police department', 'police detective', 'crime', 'drama']",60 min,"Drama following six diverse NYPD rookies as they patrol the gritty streets of upper Manhattan. The new trainees include Jennifer ""White House"" Perry, a former college volleyball star and Marine MP in Iraq with a take-charge attitude; Ray ""Lazarus"" Harper, the oldest rookie and a former police news reporter with better sources than most seasoned cops; Tonya Sanchez, who comes from a family with a criminal history; Ahmad Kahn, an Afghani native who fought his way to freedom; Kenny McClaren, a fourth-generation police officer with great instincts but qualms about joining the force; and Jayson ""Jackpot"" Toney, a young basketball legend who squandered his opportunity in the NBA. Their demanding Field Training Officer, Daniel ""Yoda"" Dean, is a case-hardened, unsentimental veteran of the force who emphasizes basics and holds each cop accountable for their actions. Rounding out the team is Sergeant Terry Howard, a no-nonsense plainclothes officer from the Gang Intel Unit, who trains the ...",Six diverse NYPD rookies patrol the gritty streets of upper Manhattan.
O.G.,69,6.6,https://www.imdb.com/title/tt5363912/?ref_=adv_li_tt,"['John Carcieri', 'Jordan Peele', 'Tracy Morgan', 'Tiffany Haddish', 'Allen Maldonado']","['Official Facebook', 'USA', 'English', 'Brooklyn, New York, USA', 'Monkeypaw Productions', 'Stereo', 'Color']",2,6.9,2100.0,"['second chances', 'brooklyn', 'new york', 'gentrification', 'fish out of water', 'comedy']",30 min,"Tray (Tracy Morgan) is an ex-con who is shocked to see just how much the world has changed when he is released from prison for good behavior after a 15-year stint. Returning to his newly gentrified Brooklyn neighborhood, he discovers that his former girlfriend, Shay (Tiffany Haddish), has married an affable, successful white man (Ryan Gaul) who is helping raise the twins (Taylor Mosby and Dante Hoagland) Tray never knew existed. Wanting nothing more than to connect with his kids, but having neither the money to support them nor himself, Tray falls back on the skills he learned in prison to make ends meet while treading unfamiliar territory.",An ex-con is shocked to see just how much the world has changed when he is released from prison for good behavior after a 15-year stint and returns to his newly gentrified Brooklyn neighborhood.
Odd Mom Out,68,5.5,https://www.imdb.com/title/tt4324796/?ref_=adv_li_tt,"['Jill Kargman', 'Jill Kargman', 'Andy Buckley', 'K.K. Glick']","['USA', 'English', 'Jax Media', 'Stereo', 'Color']",3,6.9,1377.0,"['manhattan', 'new york city', 'satire', 'comedy']",22 min,The fantastically outrageous world of the uber-wealthy momzillas of New York's Upper East Side.,The fantastically outrageous world of the uber-wealthy momzillas of New York's Upper East Side.
October Road,23,8.6,https://www.imdb.com/title/tt0756573/?ref_=adv_li_tt,"['Josh Appelbaum', 'André Nemec', 'Scott Rosenberg', 'Bryan Greenberg', 'Laura Prepon', 'Warren Christie']","['ABC.com', 'USA', 'English', 'Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA', 'Group M Entertainment', 'Stereo', 'Color']",2,7.5,4104.0,"['hometown', 'pizza delivery', 'character never tells his real name', 'illegitimate child', 'shut in', 'comedy', 'drama', 'romance']",43 min,An author returns to his hometown to face the people whom he based his book on.,An author returns to his hometown to face the people whom he based his book on.
Off the Map,49,8.0,https://www.imdb.com/title/tt1587694/?ref_=adv_li_tt,"['Jenna Bans', 'Jonathan Castellanos', 'Valerie Cruz', 'Caroline Dhavernas']","['Official site', 'USA', 'English', ""O'ahu, Hawaii, USA"", 'Shondaland', 'Dolby Digital', 'Color']",1,7.3,4776.0,"['doctor', 'medicine', 'medical profession', 'latex gloves', 'village', 'action', 'adventure', 'drama']",42 min,"This series follows doctors working in a clinic in a South American jungle. The head of the clinic is Ben Keeton. Otis Cole is doctor who had a substance abuse problem. Zita Alvarez is Ben's right hand. Lily Brenner is trying to cope with a loss. Tommy Fuller who is an easy going guy, who makes mistakes. Mina Minard, a doctor who made a mistake which affected her confidence. And Ryan Clark, a doctor whom Ben likes.",A trio of doctors seek a new start.
Of Kings and Prophets,47,6.4,https://www.imdb.com/title/tt4387170/?ref_=adv_li_tt,"['Chris Brancato', 'Adam Cooper', 'Bill Collage', 'Ray Winstone', 'Olly Rix', 'Mohammad Bakri']","['USA', 'English', 'Cape Town, South Africa', 'Philotimo Factory', 'Stereo', 'Color']",1,6.2,1387.0,['drama'],60 min,"A biblical drama centered around a battle-weary king, a powerful and resentful prophet, and a resourceful young shepherd.","A biblical drama centered around a battle-weary king, a powerful and resentful prophet, and a resourceful young shepherd."
Oliver Twist ,72,0,https://www.imdb.com/title/tt1065309/?ref_=adv_li_tt,"['William Miller', 'Adam Arnold', 'Ryan Barr']","['BBC [UK]', 'UK', 'English', 'Chatham Docks, Chatham, Kent, England, UK', 'British Broadcasting Corporation (BBC)', 'Stereo', 'Color']",1,7.5,2313.0,"['tv mini series', 'orphan', ""child's point of view"", '19th century', 'based on novel', 'drama']",176 min,The adventures of the orphaned Oliver Twist in Victorian London.,The adventures of the orphaned Oliver Twist in Victorian London.
Olympus,0,7.2,https://www.imdb.com/title/tt3681794/?ref_=adv_li_tt,"['Nick Willing', 'Tom York', 'Sonya Cassidy', 'Sonita Henry']","['UK', 'English', 'Vancouver, British Columbia, Canada', 'Reunion Pictures', 'Color']",1,6.4,5245.0,['fantasy'],46 min,"Olympus centers on how a few brave men and women banished the gods to the realm of the unconscious: a place they called the Underworld, or the Kingdom of Hades. The series follows Hero on his journey as he transforms from a fresh-faced and raw young man to a ruthless leader of man and match for the gods themselves.",Follows Hero on his journey as he transforms from a fresh-faced and raw young man to a ruthless leader of man and match for the gods themselves.
Olive Kitteridge,89,8.2,https://www.imdb.com/title/tt3012698/?ref_=adv_li_tt,"['Frances McDormand', 'Richard Jenkins', 'Ken Cheeseman']","['USA', 'English', 'Gloucester, Massachusetts, USA', 'Home Box Office (HBO)', 'Dolby Digital', 'Color']",1,8.3,15364.0,"['pulitzer prize source', 'title directed by female', 'tv mini series', 'drama']",239 min,"A look at a seemingly placid New England town that is actually wrought with illicit affairs, crime and tragedy, all told through the lens of Olive, whose wicked wit and harsh demeanor mask a warm but troubled heart and staunch moral center. The story spans 25 years and focuses on Olive's relationships with her husband, Henry, the good-hearted and kindly town pharmacist; their son, Christopher, who resents his mother's approach to parenting; and other members of their community.",A middle-school math teacher Olive and her marriage with Henry which spans 25 years.
Once and Again,0,0,https://www.imdb.com/title/tt0202198/?ref_=adv_li_tt,"['Marshall Herskovitz', 'Edward Zwick', 'Sela Ward', 'Billy Campbell', 'Jeffrey Nordling']","['ABC', 'USA', 'English', 'Los Angeles, California, USA', 'The Bedford Falls Company', 'Dolby Digital', 'Color']",3,7.8,2405.0,"['divorce', 'shy girl', 'bibliophilia', 'bookstore', 'marriage', 'drama', 'family', 'romance']",60 min,"Rick is a divorced father-of-two who meets Lily, a newly-separated mother-of-two. They begin a relationship, which has a significant impact not only on their lives but on those of their children and ex-spouses, as well.",A divorced father and a soon-to-be divorced mother meet and begin a romantic courtship which is always complicated by their respective children and their own life problems.
On My Block,69,7.3,https://www.imdb.com/title/tt7879820/?ref_=adv_li_tt,"['Eddie Gonzalez', 'Jeremy Haft', 'Lauren Iungerich', 'Sierra Capri', 'Jason Genao', 'Brett Gray']","['Netflix.com/OnMyBlock', 'USA', 'English', 'Dolby Digital', 'Color']",2,8.1,6702.0,"['young adult', 'coming of age', 'los angeles california', 'comedy']",30 min,"On My Block, co-created by Lauren Iungerich (creator of Awkward) and Eddie Gonzalez and Jeremy Haft (All Eyez On Me, Empire), is a coming of age comedy about four bright and street-savvy friends navigating their way through the triumph, pain and the newness of high-school set in the rough inner city.","A coming-of-age story about four bright, street-savvy friends navigating their way through high school in the gritty inner city of South Central Los Angeles. Dealing with the danger of getting their friend out of a gang and friends turning into romance, danger is constant."
Once Upon a Time in Wonderland,59,6.9,https://www.imdb.com/title/tt2802008/?ref_=adv_li_tt,"['Jane Espenson', 'Zack Estrin', 'Adam Horowitz', '1 more credit', 'Sophie Lowe', 'Michael Socha', 'Peter Gadiot']","['Official site', 'Canada', 'English', 'Vancouver, British Columbia, Canada', 'ABC Studios', 'Stereo', 'Color']",1,7.0,10824.0,"['hat', 'literary character', 'alice character', 'knave of hearts character', 'red queen character', 'adventure', 'drama', 'fantasy', 'mystery', 'romance']",42 min,"In Victorian England, the young and beautiful Alice tells a tale of a strange new land that exists on the other side of a rabbit hole.","In Victorian England, the young and beautiful Alice tells a tale of a strange new land that exists on the other side of a rabbit hole."
Once Upon a Time,66,7.8,https://www.imdb.com/title/tt1843230/?ref_=adv_li_tt,"['Adam Horowitz', 'Edward Kitsis', 'Ginnifer Goodwin', 'Jennifer Morrison', 'Lana Parrilla']","['Official Facebook', 'USA', 'English', 'New Westminster, British Columbia, Canada', 'Kitsis/Horowitz', 'Dolby Digital', 'Color']",7,7.8,198367.0,"['fairy tale', 'curse', 'maine', 'enchanted forest', 'magical realism', 'adventure', 'fantasy', 'romance']",60 min,"For Emma Swan, life has been anything but a happy ending. But when she's reunited with Henry - the son she gave up for adoption ten years ago - on the night of her 28th birthday, everything changes. The now 10-year-old Henry is in desperate need of Emma's help because he believes from reading a book of fairy-tales that she's the daughter of Snow White and Prince Charming - who sent her away from the Enchanted Forest to be protected from a curse that was enacted by the Evil Queen. Emma initially refuses to believe a word of Henry's story but soon finds that his hometown of Storybrooke, Maine is more than it seems. Because it's in Storybrooke that all of the classic characters we know are frozen in time with no memories of their former selves - except for the Evil Queen, who is Storybrooke's mayor and Henry's adoptive mother Regina Mills. Now, as the epic ""Final Battle"" for the future of both worlds approaches, Emma will have to accept her destiny and uncover the mystery behind a place ...",A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.
One Big Happy,37,4.7,https://www.imdb.com/title/tt3501016/?ref_=adv_li_tt,"['Liz Feldman', 'Elisha Cuthbert', 'Nick Zano', 'Kelly Brook']","['Official Facebook', 'USA', 'English', 'Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA', 'Visualized', 'Stereo', 'Color']",1,5.8,2701.0,['comedy'],21 min,A lesbian and her straight guyfriend decide to have a baby together.,A lesbian and her straight guyfriend decide to have a baby together.
