title,cast,details,num_seasons,user_rating,num_ratings,keywords,runtime,synopsis,plot
NYPD Blue,"['Steven Bochco', 'David Milch', 'Dennis Franz', 'Jimmy Smits', 'Gordon Clapp']","['USA', 'English', 'Los Angeles, California, USA', 'Steven Bochco Productions', 'Dolby Digital', 'Color']",12,7.5,10569.0,"['famous opening theme', 'two word series title', 'italian american', 'color in series title', 'acronym in series title', 'crime', 'drama', 'mystery', 'thriller']",60 min,"Each week viewers see the gritty reality of life in a New York City Police unit as the officers go about their work with a grim determination. Two partners, Detectives Andy Sipowicz and John Kelley (later replaced by Bobby Simone), are the central characters in this weekly police drama, and personify very different approaches to their difficult job. Sipowicz's brash gruffness (covering an emotional vulnerability) is tempered by the precise and controlled demeanor of the two partners with whom he has worked.",Detectives from NYPD's 15th squad investigate homicides within their precinct.
Oban Star-Racers,"['Savin Yeatman-Eiffel', 'Junko Noda', 'Chiara Zanni', 'Michael Dobson']","['Official site', 'France', 'French', 'Sav! The World Productions', 'Dolby Digital', 'Color']",1,8.2,1355.0,"['bare midriff', 'anime', 'animation', 'action', 'adventure', 'sci-fi']",25 min,"Earth, 2082, twenty-five years after the failed invasion of the Crog forces. Young Eva (15) is determined to be reunited with her father, race manager Don Wei, who sent her off to a tough boarding school after the tragic death of the mother, ten years earlier. She escapes from school and secretly joins her dad's famous star-racer team under the alias ""Molly"". But Don Wei doesn't recognize his daughter. He has other troubles on his mind: the President of the Earth Coalition has just put him in charge of a dangerous top-secret mission. Don Wei must lead the Earth to victory in a mysterious and mythical intergalactic competition - The Great Race of Oban. It is said that the outcome of the competition will radically transform the balance of power within our Galaxy. Earth cannot afford to lose - especially not against the Crogs! Before she knows what is happening, ""Molly"" takes off for the planet Alwas, the first stage of The Great Race of Oban, with Don Wei, champion pilot Rick ...","Earth, 2082, twenty-five years after the failed invasion of the Crog forces. Young Eva (15) is determined to be reunited with her father, race manager Don Wei, who sent her off to a tough "
October Road,"['Josh Appelbaum', 'André Nemec', 'Scott Rosenberg', 'Bryan Greenberg', 'Laura Prepon', 'Warren Christie']","['ABC.com', 'USA', 'English', 'Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA', 'Group M Entertainment', 'Stereo', 'Color']",2,7.5,4097.0,"['hometown', 'pizza delivery', 'character never tells his real name', 'illegitimate child', 'shut in', 'comedy', 'drama', 'romance']",43 min,An author returns to his hometown to face the people whom he based his book on.,An author returns to his hometown to face the people whom he based his book on.
Odd Mom Out,"['Jill Kargman', 'Jill Kargman', 'Andy Buckley', 'K.K. Glick']","['USA', 'English', 'Jax Media', 'Stereo', 'Color']",3,6.9,1373.0,"['manhattan', 'new york city', 'satire', 'comedy']",22 min,The fantastically outrageous world of the uber-wealthy momzillas of New York's Upper East Side.,The fantastically outrageous world of the uber-wealthy momzillas of New York's Upper East Side.
Of Kings and Prophets,"['Chris Brancato', 'Adam Cooper', 'Bill Collage', 'Ray Winstone', 'Olly Rix', 'Mohammad Bakri']","['USA', 'English', 'Cape Town, South Africa', 'Philotimo Factory', 'Stereo', 'Color']",1,6.2,1383.0,['drama'],60 min,"A biblical drama centered around a battle-weary king, a powerful and resentful prophet, and a resourceful young shepherd.","A biblical drama centered around a battle-weary king, a powerful and resentful prophet, and a resourceful young shepherd."
Off the Map,"['Jenna Bans', 'Jonathan Castellanos', 'Valerie Cruz', 'Caroline Dhavernas']","['Official site', 'USA', 'English', ""O'ahu, Hawaii, USA"", 'Shondaland', 'Dolby Digital', 'Color']",1,7.3,4769.0,"['doctor', 'medicine', 'medical profession', 'latex gloves', 'village', 'action', 'adventure', 'drama']",42 min,"This series follows doctors working in a clinic in a South American jungle. The head of the clinic is Ben Keeton. Otis Cole is doctor who had a substance abuse problem. Zita Alvarez is Ben's right hand. Lily Brenner is trying to cope with a loss. Tommy Fuller who is an easy going guy, who makes mistakes. Mina Minard, a doctor who made a mistake which affected her confidence. And Ryan Clark, a doctor whom Ben likes.",A trio of doctors seek a new start.
Olympus,"['Nick Willing', 'Tom York', 'Sonya Cassidy', 'Sonita Henry']","['UK', 'English', 'Vancouver, British Columbia, Canada', 'Reunion Pictures', 'Color']",1,6.4,5239.0,['fantasy'],46 min,"Olympus centers on how a few brave men and women banished the gods to the realm of the unconscious: a place they called the Underworld, or the Kingdom of Hades. The series follows Hero on his journey as he transforms from a fresh-faced and raw young man to a ruthless leader of man and match for the gods themselves.",Follows Hero on his journey as he transforms from a fresh-faced and raw young man to a ruthless leader of man and match for the gods themselves.
On My Block,"['Eddie Gonzalez', 'Jeremy Haft', 'Lauren Iungerich', 'Sierra Capri', 'Jason Genao', 'Brett Gray']","['Netflix.com/OnMyBlock', 'USA', 'English', 'Dolby Digital', 'Color']",2,8.1,6554.0,"['young adult', 'coming of age', 'los angeles california', 'comedy']",30 min,"On My Block, co-created by Lauren Iungerich (creator of Awkward) and Eddie Gonzalez and Jeremy Haft (All Eyez On Me, Empire), is a coming of age comedy about four bright and street-savvy friends navigating their way through the triumph, pain and the newness of high-school set in the rough inner city.","A coming-of-age story about four bright, street-savvy friends navigating their way through high school in the gritty inner city of South Central Los Angeles. Dealing with the danger of getting their friend out of a gang and friends turning into romance, danger is constant."
Once and Again,"['Marshall Herskovitz', 'Edward Zwick', 'Sela Ward', 'Billy Campbell', 'Jeffrey Nordling']","['ABC', 'USA', 'English', 'Los Angeles, California, USA', 'The Bedford Falls Company', 'Dolby Digital', 'Color']",3,7.8,2400.0,"['divorce', 'shy girl', 'bibliophilia', 'bookstore', 'marriage', 'drama', 'family', 'romance']",60 min,"Rick is a divorced father-of-two who meets Lily, a newly-separated mother-of-two. They begin a relationship, which has a significant impact not only on their lives but on those of their children and ex-spouses, as well.",A divorced father and a soon-to-be divorced mother meet and begin a romantic courtship which is always complicated by their respective children and their own life problems.
Once Upon a Time,"['Adam Horowitz', 'Edward Kitsis', 'Ginnifer Goodwin', 'Jennifer Morrison', 'Lana Parrilla']","['Official Facebook', 'USA', 'English', 'New Westminster, British Columbia, Canada', 'Kitsis/Horowitz', 'Dolby Digital', 'Color']",7,7.8,197989.0,"['fairy tale', 'curse', 'maine', 'enchanted forest', 'magical realism', 'adventure', 'fantasy', 'romance']",60 min,"For Emma Swan, life has been anything but a happy ending. But when she's reunited with Henry - the son she gave up for adoption ten years ago - on the night of her 28th birthday, everything changes. The now 10-year-old Henry is in desperate need of Emma's help because he believes from reading a book of fairy-tales that she's the daughter of Snow White and Prince Charming - who sent her away from the Enchanted Forest to be protected from a curse that was enacted by the Evil Queen. Emma initially refuses to believe a word of Henry's story but soon finds that his hometown of Storybrooke, Maine is more than it seems. Because it's in Storybrooke that all of the classic characters we know are frozen in time with no memories of their former selves - except for the Evil Queen, who is Storybrooke's mayor and Henry's adoptive mother Regina Mills. Now, as the epic ""Final Battle"" for the future of both worlds approaches, Emma will have to accept her destiny and uncover the mystery behind a place ...",A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.
